,0,1,2
1086,-16,0,0
1087,-16,0,8
1088,-32,0,8
1089,-16,0,0
1090,-32,-16,8
1091,-16,0,8
1092,-32,0,0
1093,-32,0,0
1094,-16,0,-16
1095,-32,-16,0
1096,-32,16,0
1097,-16,0,0
1098,-32,-8,0
1099,-16,16,-16
1100,-16,0,0
1101,-32,-8,0
1102,-16,-8,-16
1103,-16,-8,0
1104,-32,0,0
1105,-32,-8,16
1106,-16,0,0
1107,-32,-16,0
1108,-32,8,16
1109,-16,0,16
1110,-32,-8,0
1111,-16,8,0
1112,-16,-8,16
1113,-32,-8,16
1114,-16,-8,0
1115,-16,-8,16
1116,0,0,-8
1117,0,0,0
1118,-8,0,0
1119,8,0,0
1120,0,0,0
1121,8,0,0
1122,0,0,0
1123,-8,0,0
1124,0,0,0
1125,-8,0,0
1126,0,-8,-8
1127,-8,-8,-8
1128,0,-8,-8
1129,0,-8,-8
1130,0,0,0
1131,0,0,0
1132,0,-8,8
1133,0,-8,8
1134,0,16,16
1135,0,16,0
1136,8,16,16
1137,8,16,16
1138,16,16,0
1139,8,16,-8
1140,0,16,0
1141,-8,16,0
1142,0,16,8
1143,-8,16,0
1144,0,8,16
1145,-8,8,16
1146,-16,-8,8
1147,-16,-8,0
1148,0,16,0
1149,0,16,0
1150,-16,-8,16
1151,-16,-8,16
1152,-8,16,16
1153,-8,16,0
1154,-16,16,16
1155,-16,16,0
1156,-16,16,0
1157,-16,16,-8
1158,-16,16,0
1159,-16,16,0
1160,-16,16,0
1161,-16,16,8
1162,-32,8,8
1163,-32,8,16
1164,-8,-8,16
1165,-8,-8,8
1166,-32,8,0
1167,-32,8,8
1168,-8,-8,32
1169,-8,-8,16
1170,-8,8,0
1171,-8,8,16
1172,-8,0,0
1173,-8,8,16
1174,-8,8,16
1175,-8,-8,16
1176,-8,8,16
1177,-16,8,0
1178,-16,16,8
1179,-16,0,0
1180,-16,8,8
1181,-16,0,8
1182,-16,-8,8
1183,-16,0,8
1184,-16,8,-16
1185,-16,16,0
1186,-16,0,0
1187,-16,8,-16
1188,-16,8,0
1189,-16,0,0
1190,-16,-8,-16
1191,-16,0,0
1192,-16,0,0
1193,-16,-8,0
1194,-16,8,0
1195,-16,0,0
1196,-16,0,0
1197,-16,0,0
1198,-16,-8,0
1199,-16,0,0
1200,-16,-8,0
1201,-16,0,8
1202,-16,0,0
1203,-16,8,8
1204,0,0,0
1205,-16,-8,8
1206,0,0,0
1207,-16,-8,0
1208,-16,0,16
1209,-16,16,16
1210,-16,8,0
1211,-16,8,16
1212,0,16,0
1213,-16,-8,0
1214,-16,0,16
1215,0,0,0
1216,-16,-8,16
1217,-16,8,16
1218,0,0,0
1219,-16,-16,16
1220,-16,16,16
1221,-16,-8,16
1222,0,16,0
1223,-32,-8,0
1224,-32,0,8
1225,-16,0,8
1226,-32,8,0
1227,-32,16,8
1228,-16,0,0
1229,-32,-8,0
1230,-16,0,8
1231,-16,0,0
1232,-32,-8,8
1233,-16,0,8
1234,-16,0,0
1235,-32,-16,8
1236,-16,0,8
1237,-32,0,8
1238,-16,0,0
1239,-32,-16,0
1240,-32,8,16
1241,-16,0,16
1242,-32,0,0
1243,-32,-8,16
1244,-16,0,0
1245,-32,-8,0
1246,-16,-8,16
1247,-16,8,0
1248,-32,-8,16
1249,-16,-8,16
1250,-16,-8,0
1251,-32,-16,0
1252,-32,16,0
1253,-16,0,0
1254,-32,0,0
1255,-32,0,0
1256,-16,0,-16
1257,-32,-8,0
1258,-16,0,0
1259,-16,16,-16
1260,-32,-8,0
1261,-16,-8,0
1262,-16,-8,-16
1263,-8,8,0
1264,-8,8,16
1265,-8,0,0
1266,-8,8,32
1267,-8,8,8
1268,-8,-8,8
1269,-8,0,16
1270,-16,8,0
1271,-16,16,16
1272,-16,0,0
1273,-16,8,16
1274,-16,0,8
1275,-16,-8,0
1276,-16,0,16
1277,-16,8,0
1278,-16,16,32
1279,-16,0,8
1280,-16,8,0
1281,-16,8,16
1282,-16,0,8
1283,-16,-8,-8
1284,-16,0,16
1285,-16,0,32
1286,-16,-8,0
1287,-16,8,0
1288,-16,0,8
1289,-16,0,8
1290,-16,-8,16
1291,-16,-8,0
1292,-16,-8,16
1293,-16,-8,0
1294,-16,0,0
1295,-16,0,0
1296,-16,8,16
1297,0,0,0
1298,-16,-8,0
1299,0,0,8
1300,-16,-8,0
1301,-16,0,16
1302,-16,16,-8
1303,-16,8,0
1304,-16,8,16
1305,0,16,0
1306,-16,-8,8
1307,-16,0,16
1308,0,0,16
1309,-16,-8,16
1310,-16,8,0
1311,0,0,0
1312,-16,-16,8
1313,-16,8,0
1314,-16,-8,0
1315,0,8,8
1316,-32,-8,8
1317,-32,0,8
1318,-16,0,-8
1319,-32,8,0
1320,-32,16,16
1321,-16,0,0
1322,-32,-8,0
1323,-16,0,16
1324,-16,0,16
1325,-32,-8,0
1326,-16,0,0
1327,-16,0,8
1328,-32,-16,8
1329,-16,0,0
1330,-32,0,0
1331,-16,0,8
1332,-32,-16,0
1333,-32,8,8
1334,-16,0,16
1335,-32,0,8
1336,-32,-8,16
1337,-16,0,16
1338,-32,-8,0
1339,-16,-8,16
1340,-16,8,16
